nome,cor,tipo_parede,ambiente,acabamento,features,linha
Suvinil Toque de Seda,Branco Neve,ALVENARIA | MADEIRA,INTERNO,ACETINADO,Lavável | Sem odor | Alta cobertura | Fácil limpeza,PREMIUM
Suvinil Fosco Completo,Cinza Urbano,FERRO,EXTERNO,FOSCO,Anti-mofo | Resistente à umidade | Alta durabilidade,STANDARD
Suvinil Clássica,Amarelo Canário,MADEIRA | ALVENARIA,INTERNO_EXTERNO,BRILHANTE,Boa cobertura | Econômica | Rápida secagem,PREMIUM
Suvinil Criativa,Verde Menta,ALVENARIA,INTERNO,FOSCO,Sem cheiro | Fácil aplicação | Secagem rápida,STANDARD
Suvinil Protege,Azul Celeste,FERRO | ALVENARIA,EXTERNO,BRILHANTE,Alta aderência | Impermeável | Resistente ao calor,PREMIUM
Suvinil Rende e Cobre,Bege Areia,MADEIRA,INTERNO_EXTERNO,ACETINADO,Protege contra fungos | Alta resistência | Baixo respingamento,STANDARD
Suvinil Esmalte Premium,Terracota,ALVENARIA | FERRO,INTERNO,BRILHANTE,Lavável | Sem odor | Alta cobertura | Fácil limpeza,PREMIUM
Suvinil Massa Corrida,Grafite,FERRO,EXTERNO,FOSCO,Anti-mofo | Resistente à umidade | Alta durabilidade,STANDARD
Suvinil Piso Forte,Rosa Chá,MADEIRA | ALVENARIA,INTERNO_EXTERNO,ACETINADO,Boa cobertura | Econômica | Rápida secagem,PREMIUM
Suvinil Verniz Madeira,Vermelho Ferrari,MADEIRA,INTERNO,BRILHANTE,Sem cheiro | Fácil aplicação | Secagem rápida,STANDARD
Suvinil Toque de Seda,Branco Neve,MADEIRA,EXTERNO,ACETINADO,Alta aderência | Impermeável | Resistente ao calor,PREMIUM
Suvinil Fosco Completo,Cinza Urbano,FERRO | ALVENARIA,INTERNO_EXTERNO,FOSCO,Protege contra fungos | Alta resistência | Baixo respingamento,STANDARD
Suvinil Clássica,Amarelo Canário,ALVENARIA,INTERNO,BRILHANTE,Lavável | Sem odor | Alta cobertura | Fácil limpeza,PREMIUM
Suvinil Criativa,Verde Menta,MADEIRA,EXTERNO,FOSCO,Anti-mofo | Resistente à umidade | Alta durabilidade,STANDARD
Suvinil Protege,Azul Celeste,FERRO,INTERNO_EXTERNO,BRILHANTE,Boa cobertura | Econômica | Rápida secagem,PREMIUM
Suvinil Rende e Cobre,Bege Areia,ALVENARIA,INTERNO,ACETINADO,Sem cheiro | Fácil aplicação | Secagem rápida,STANDARD
Suvinil Esmalte Premium,Terracota,MADEIRA,EXTERNO,BRILHANTE,Alta aderência | Impermeável | Resistente ao calor,PREMIUM
Suvinil Massa Corrida,Grafite,FERRO | ALVENARIA,INTERNO_EXTERNO,FOSCO,Protege contra fungos | Alta resistência | Baixo respingamento,STANDARD
Suvinil Piso Forte,Rosa Chá,ALVENARIA,INTERNO,ACETINADO,Lavável | Sem odor | Alta cobertura | Fácil limpeza,PREMIUM
Suvinil Verniz Madeira,Vermelho Ferrari,MADEIRA,EXTERNO,BRILHANTE,Anti-mofo | Resistente à umidade | Alta durabilidade,STANDARD